"docid"	"author"	"realname"	"pseudonym"	"gender"	"nationality"	"authordate"	"inferreddate"	"firstpub"	"latestcomp"	"allcopiesofwork"	"copiesin25yrs"	"enumcron"	"imprint"	"genres"	"subjects"	"shorttitle"	"category"	"hathiadvent"
"mdp.49015000838012"	"Fraser, Peter"			"m"	"us"	"1932-"	1971	1971	1971	1	1		"Boston|Plays inc.|1971"	"Bibliographies|NotFiction"	"Puppet theater"	"Puppet circus"	"notfiction"	"contemporary"
"mdp.39015063561586"	"Ferrier, Susan"	"Ferrier, Susan Edmonstone"		"f"	"uk"	"1782-1854."	1818	1818	1818	5	3	"v.2"	"Edinburgh;W. Blackwood and J. Murray;1818."	"Bibliographies|Fiction"	"English fiction"	"Marriage, a novel"	"longfiction"	"contemporary"
"uiuo.ark+=13960=t8nc6b618"	"Neri, Mary Anne"	"Neri, Mary Anne"		"f"	"it"		1804	1804	1804	1	1	"v.1"	"London;Printed for T. Cadell and W. Davies by I. Gold;1804."	"Novel|Fiction"		"The eve of San-Pietro"	"longfiction"	"contemporary"
"uc1.$b473613"	"Mann, Erika"	"Mann, Erika"		"f"	"de"	"1905-1969."	1940	1940	1940	1	1		"New York|Toronto|Farrar & Rinehart, inc.|c1940"	"NotFiction"	"Social life and customs"	"The lights go down"	"longfiction"	"contemporary"
"nyp.33433074931597"	"Forrester, Charles Robert"	"Forrester, Charles Robert"	"Crowquill, Alfred; Willis, Hal"	"m"	"uk"	"1803-1850."	1843	1843	1843	2	2	"v. 2"	"London;R. Bentley;1843."	"NotFiction"		"Phantasmagoria of fun"	"juvenile"	"contemporary"
"uc2.ark+=13960=t5h99230h"	"Seddon, Frederick Henry"	"Wallace, Edgar"		"m"	"uk"		1914	1914	1914	1	1		"Edinburgh;London;W. Hodge;1914."		"Barrow, Eliza Mary|d. 1911"	"Trial of the Seddons"	"notfiction"	"contemporary"
"mdp.39015030126505"	"Roscoe, Thomas (trans.)"			"m"	"uk"	"1791-1871."	1826	1200	1826	1	1	"v.1"	"London;H. Colburn;1826."	"UnknownGenre"		"Introduction. Reineke Fuchs (Reynard the Fox) numerous authors and editions of it. The pleasant history of Reynard the Fox Flowleglass, the merry jester. Doctor Faustus"	"shortfiction"	"reprint"
"loc.ark+=13960=t08w4945p"	"Humpty Dumpty. [from old catalog]"			"u"	"us"		1876	1876	1876	1	1		"Memphis, Tenn.;W.L. Surprise, publisher;1876."			"The winning o't!"	"shortfiction"	"contemporary"
"dul1.ark+=13960=t89g6ct7k"	"Edgeworth, Maria"			"f"	"uk"	"1767-1849."	1805	1804	1805	2	2		"London;J. Johnson;1805."	"NotFiction"		"The modern Griselda"	"longfiction"	"contemporary"
"mdp.39015062378909"	"Stork, Charles Wharton (trans.)"			"m"	"us"	"1881-1971"	1923	1923	1923	1	1		"New York|Dutton|c1923."	"Short stories"	"Short stories, Swedish|Short stories, English|Translations into English|Translations from Swedish"	"Modern Swedish masterpieces : short stories"	"shortfiction"	"contemporary"
"uc2.ark+=13960=t45q53b1s"	"Knighton, W"	"Knighton, William"		"m"	"uk"	"d. 1900"	1854	1854	1854	3	3	"v.1"	"London;Hurst and Blackett;1854."		"Description and travel|Sri Lanka"	"Forest life in Ceylon"	"notfiction"	"contemporary"
"dul1.ark+=13960=t4vh67297"	"Grafigny"	"Graffigny, Mme de (Françoise d'Issembourg d'Happoncourt)"		"f"	"fr"	"1695-1758"	1802	1802	1802	2	2	"v.2"	"Paris;printed for Durand Bookseller;1802."		"Utopias"	"Letters of a Peruvian princess"	"longfiction"	"contemporary"
