HTid,recordid,OCLC,LOCnum,author,imprint,date,enumcron,materialtype,subjects,genres,title,firstpub,Hackettlist,NumInList,Jgenre,Present
pst.000062848473,7059700,3856346,<blank>,"Ward, Humphry,",New York;Grosset & Dunlap;1903].,1903,<blank>,monograph,<blank>,Not fiction,Lady Rose's Daughter,1903,1903,1,fic,
uc2.ark:/13960/t4nk3bk8d,7092934,2705832,PR5714.L3,"Ward, Humphry,","London;Smith, Elder;1903.",1903,<blank>,monograph,<blank>,Fiction,Lady Rose's daughter,1903,1903,1,fic,
nyp.33433075764120,7092934,2705832,PR5714.L3,"Ward, Humphry,","London;Smith, Elder;1903.",1903,<blank>,monograph,<blank>,Fiction,Lady Rose's daughter,1903,1903,1,fic,
uc2.ark:/13960/t7fr03t29,7704465,6417102,<blank>,"Ward, Humphry,",New York;London;Harper & brothers;1903.,1903,<blank>,monograph,<blank>,Fiction,Lady Rose's daughter,1903,1903,1,fic,y
uc2.ark:/13960/t0pr7wr2t,1187905,730255,PZ3.W215Lar,"Ward, Humphry,",New York and;London;Harper & brothers;1903.,1903,<blank>,monograph,<blank>,Fiction,Lady Rose's daughter;,1903,1903,1,fic,
uc1.b3549031,6672790,5522218,PZ3.W215L,"Ward, Humphry,",New York;London;Harper & Brothers;1903.,1903,<blank>,monograph,<blank>,Fiction,Lady Rose's daughter;,1903,1903,1,fic,
mdp.39015063946241,247341,1749972,PZ3.P145Go,"Page, Thomas Nelson,",New York;C. Scribner's sons;1903.,1903,<blank>,monograph,<blank>,Not fiction,Gordon Keith,1903,1903,2,fic,y
uva.x030805981,9776056,15721678,PZ3.P145Go2,"Page, Thomas Nelson,",New York;C. Scribner's andsons;1905,1905,<blank>,monograph,<blank>,Not fiction,Gordon Keith,1903,1903,2,fic,
uva.x030805980,9793436,20155272,<blank>,"Page, Thomas Nelson,",New York;Grosset & Dunlap;1905.,1905,<blank>,monograph,<blank>,Fiction,Gordon Keith,1903,1903,2,fic,
mdp.39015063946233,247344,20077930,<blank>,"Page, Thomas Nelson,",New York;C. Scribner's sons;1912.,1912,<blank>,monograph,<blank>,Not fiction,Gordon Keith,1903,1903,2,fic,
mdp.39015005481349,1020785,6474431,PZ3.N792P,"Norris, Frank,","New York;Doubleday, Page & Co.;1903.",1903,<blank>,monograph,Fiction;Economic conditions;Chicago (Ill.),Fiction;Insertions (Provenance);Bookplates (Provenance);Autographs (Provenance),The pit,1903,1903,3,fic,y
mdp.39015008988134,1020785,6474431,PZ3.N792P,"Norris, Frank,","New York;Doubleday, Page & Co.;1903.",1903,<blank>,monograph,Fiction;Economic conditions;Chicago (Ill.),Fiction;Insertions (Provenance);Bookplates (Provenance);Autographs (Provenance),The pit,1903,1903,3,fic,
uc1.b3862339,6737183,4918212,<blank>,"Norris, Frank,","Garden City, N.Y.;Doubleday, Page;1920 [c1903",1920,<blank>,monograph,<blank>,Fiction,The pit,1903,1903,3,fic,
uc2.ark:/13960/t6b27r23b,6737183,4918212,<blank>,"Norris, Frank,","Garden City, N.Y.;Doubleday, Page;1920 [c1903",1920,<blank>,monograph,<blank>,Fiction,The pit,1903,1903,3,fic,
