HTid,recordid,OCLC,LOCnum,author,imprint,date,enumcron,materialtype,subjects,genres,title,firstpub,Hackettlist,NumInList,Jgenre,Present
mdp.39015005913168,281955,364467,<blank>,"Barclay, Florence L.",New York;Grosset & Dunlap;c1910,1910,<blank>,monograph,<blank>,Fiction,The rosary,1910,1910,1,fic,
nyp.33433074932256,281955,364467,<blank>,"Barclay, Florence L.",New York;Grosset & Dunlap;c1910,1910,<blank>,monograph,<blank>,Fiction,The rosary,1910,1910,1,fic,
uc2.ark:/13960/t7br8r97z,7694069,651717,PZ3.B2352Ro,"Barclay, Florence L.",New York;Grosset & Dunlap;c1910,1910,<blank>,monograph,<blank>,Fiction,The rosary,1910,1910,1,fic,
nc01.ark:/13960/t6d22rg9b,10939660,50931853,PR6003.A66R6 1910,"Barclay, Florence L.",New York;G.P. Putnam's Sons;Knickerbocker Press;1910.,1910,<blank>,monograph,<blank>,Fiction,The rosary,1910,1910,1,fic,y
njp.32101064787102,8921397,6525203,<blank>,"Barclay, Florence L.",New York;London;G. P. Putnam's sons;1911 [c1909,1911,<blank>,monograph,<blank>,Fiction,The rosary,1910,1910,1,fic,
uc1.b4374271,9510750,254449003,<blank>,"Churchill, Winston,",New York;The Macmillan Co;1904.,1904,<blank>,monograph,<blank>,Not fiction,A modern chronicle,1910,1910,2,fic,
mdp.39015004288299,663366,708711,PZ3.C474Mo,"Churchill, Winston,",New York;The Macmillan Company;1910.,1910,<blank>,monograph,<blank>,Fiction,A modern chronicle,1910,1910,2,fic,y
nyp.33433074812201,663366,708711,PZ3.C474Mo,"Churchill, Winston,",New York;The Macmillan Company;1910.,1910,<blank>,monograph,<blank>,Fiction,A modern chronicle,1910,1910,2,fic,
uc2.ark:/13960/t0000057d,7655860,3115192,<blank>,"Churchill, Winston,","New York;Grosset & Dunlap;1913,c1910",1913,<blank>,monograph,<blank>,Fiction,A modern chronicle,1910,1910,2,fic,
mdp.39015063930195,320655,6913204,<blank>,"King, Basil,",New York;Grosset & Dunlap;c1910,1910,<blank>,monograph,<blank>,Fiction,The wild olive;,1910,1910,3,fic,
uc2.ark:/13960/fk7xk8535b,11715936,1294139,PS3521.I548W5 1910,"King, Basil.",New York;London;Harper & Brothers;1910.,1910,<blank>,monograph,<blank>,Fiction,The wild olive,1910,1910,3,fic,y
uc2.ark:/13960/t6j102c3z,6541611,1837073,PZ3.T428Ma,"Thurston, Katherine Cecil,",New York;London;Harper & Brothers;1910.,1910,<blank>,monograph,<blank>,Fiction,Max,1910,1910,4,fic,y
uva.x004680499,9782721,21186294,<blank>,"Rives, Hallie Erminie,",New York;Grosset & Dunlap;1911,1911,<blank>,monograph,<blank>,Not fiction,The kingdom of slender swords,1910,1910,5,fic,y
mdp.39015063938933,280997,9608936,PZ3.L796Si,"Locke, William John,",New York;A. L. Burt co.;c1910].,1910,<blank>,monograph,<blank>,Fiction,Simon the jester,1910,1910,6,fic,
mdp.39015048889334,538635,896634,PZ3.L796Si,"Locke, William John,",New York;John Lane company;1910.,1910,<blank>,monograph,<blank>,Not fiction,Simon the jester,1910,1910,6,fic,
uc2.ark:/13960/t2g73fq20,538635,896634,PZ3.L796Si,"Locke, William John,",New York;John Lane company;1910.,1910,<blank>,monograph,<blank>,Not fiction,Simon the jester,1910,1910,6,fic,y
nyp.33433074879556,538635,896634,PZ3.L796Si,"Locke, William John,",New York;John Lane company;1910.,1910,<blank>,monograph,<blank>,Not fiction,Simon the jester,1910,1910,6,fic,
uc1.b3325239,6131562,9744881,<blank>,"Williamson, C. N.",New York;A.L. Burt;c1910.,1910,<blank>,monograph,<blank>,Fiction,Lord Loveland discovers America,1910,1910,7,fic,
nyp.33433075768600,8668165,1813665,PZ3.W677Lo,"Williamson, C. N.","New York;Doubleday, Page & Co.;1910.",1910,<blank>,monograph,<blank>,Fiction,Lord Loveland discovers America,1910,1910,7,fic,y
uc2.ark:/13960/t2g737p22,7671087,2865248,<blank>,"Rinehart, Mary Roberts,",New York;Review of Reviews;1910.,1910,<blank>,monograph,<blank>,Fiction,The window at the White Cat,1910,1910,8,fic,
uva.x004309079,9776329,2485115,PZ3.R47Wi,"Rinehart, Mary Roberts,",Indianapolis;The Bobbs-Merrill company;c1910,1910,<blank>,monograph,<blank>,Not fiction,The window at the White Cat,1910,1910,8,fic,y
