HTid,recordid,OCLC,LOCnum,author,imprint,date,enumcron,subjects,genres,title,firstpub,Hackettlist,NumInList,Jgenre,Present
uc1.b102395,6601802,1248709,PZ3.J646To,"Johnston, Mary,","Boston;and New York;Houghton, Mifflin and company;1900.",1900,<blank>,"Colonial period, ca. 1600-1775;Fiction;Virginia;History",Unknown;biog?,To have and to hold,1900,1900,1,fic,y
mdp.39015004288042,482852,1106974,<blank>,"Johnston, Mary,",New York;Grosset & Dunlap;c1900,1900,<blank>,"Colonial period, ca. 1600-1775;Fiction;Virginia;History",Fiction,To have and to hold,1900,1900,1,fic,
uc2.ark:/13960/t58c9t779,7655793,1494802,<blank>,"Cholmondeley, Mary,",New York;Harper;1900 [c1899,1900,<blank>,<blank>,Unknown,Red pottage,1899,1900,2,fic,y
inu.32000001871153,8566373,6660388,<blank>,"Cholmondeley, Mary,",London;Edward Arnold;1899.,1899,<blank>,<blank>,Fiction,Red pottage,1899,1900,2,fic,
mdp.39015007004800,284649,54515211,PZ3.C453R,"Cholmondeley, Mary,",New York;London;Harper & brothers;1900.,1900,<blank>,<blank>,Fiction,Red pottage,1899,1900,2,fic,
nyp.33433082272703,6501703,1950886,<blank>,"Cholmondeley, Mary,",New York;Harper;1899.,1899,<blank>,<blank>,Fiction,Red pottage,1899,1900,2,fic,
uc1.b248941,6501703,1950886,<blank>,"Cholmondeley, Mary,",New York;Harper;1899.,1899,<blank>,<blank>,Fiction,Red pottage,1899,1900,2,fic,
nyp.33433074940986,7655793,1494802,<blank>,"Cholmondeley, Mary,",New York;Harper;1900 [c1899,1900,<blank>,<blank>,Unknown,Red pottage,1899,1900,2,fic,
mdp.39015005148344,5262003,913934,PS1762.U5 1900,"Grant, Robert,",New York;C. Scribner's Sons;1900.,1900,<blank>,<blank>,Fiction,Unleavened bread,1900,1900,3,fic,y
nyp.33433076088974,5262003,913934,PS1762.U5 1900,"Grant, Robert,",New York;C. Scribner's Sons;1900.,1900,<blank>,<blank>,Fiction,Unleavened bread,1900,1900,3,fic,
uva.x000362635,9775871,477011537,PZ3.G767Un,"Grant, Robert,",New York;C.Scribner's sons;1915,1915,<blank>,<blank>,Not fiction,Unleavened bread a novel,1900,1900,3,fic,
mdp.39015014459955,1375122,606400,PS1034.R42 1900,"Allen, James Lane,","New York;Macmillan;London;Macmillan and co., ltd.;1900.",1900,<blank>,<blank>,Fiction,The reign of law,1900,1900,4,fic,
uc1.b3578550,6678119,12999995,<blank>,"Allen, James Lane,",New York;Macmillan;1900.,1900,<blank>,<blank>,Fiction,The reign of law,1900,1900,4,fic,y
wu.89072357940,1375122,606400,PS1034.R42 1900,"Allen, James Lane,","New York;Macmillan;London;Macmillan and co., ltd.;1900.",1900,<blank>,<blank>,Fiction,The reign of law,1900,1900,4,fic,
nyp.33433082266325,114430,270677,<blank>,"Bacheller, Irving,",Boston;Lothrop publishing company;c1900,1900,<blank>,<blank>,Fiction,Eben Holden;,1900,1900,5,fic,
nc01.ark:/13960/t41r7kk60,114430,270677,<blank>,"Bacheller, Irving,",Boston;Lothrop publishing company;c1900,1900,<blank>,<blank>,Fiction,Eben Holden;,1900,1900,5,fic,y
mdp.39015059389364,114430,270677,<blank>,"Bacheller, Irving,",Boston;Lothrop publishing company;c1900,1900,<blank>,<blank>,Fiction,Eben Holden;,1900,1900,5,fic,
mdp.39015059389356,114430,270677,<blank>,"Bacheller, Irving,",Boston;Lothrop publishing company;c1900,1900,<blank>,<blank>,Fiction,Eben Holden;,1900,1900,5,fic,
nyp.33433076065998,8689733,2231759,<blank>,"Ford, Paul Leicester,","New York;Dodd, Mead & Co.;1899;(New York;Press of J. J. Little).",1899,v. 1,"United States;Fiction;Revolution, 1775-1783;History",Fiction,Janice Meredith,1899,1900,6,fic,y
nyp.33433076065980,8689733,2231759,<blank>,"Ford, Paul Leicester,","New York;Dodd, Mead & Co.;1899;(New York;Press of J. J. Little).",1899,v. 2,"United States;Fiction;Revolution, 1775-1783;History",Fiction,Janice Meredith,1899,1900,6,fic,y
nyp.33433075727846,8664852,2977199,PZ3.F755J 2,"Ford, Paul Leicester,",New York;Grosset & Dunlap;c1899,1899,<blank>,"United States;Fiction;Revolution, 1775-1783;History",Fiction,Janice Meredith;,1899,1900,6,fic,
mdp.39015063869104,249888,598201,PZ3.F755J,"Ford, Paul Leicester,","New York;Dodd, Mead and co.;1899.",1899,v.2,"United States;Fiction;Revolution, 1775-1783;History",Fiction,Janice Meredith;,1899,1900,6,fic,
uc1.b3322063,249888,598201,PZ3.F755J,"Ford, Paul Leicester,","New York;Dodd, Mead and co.;1899.",1899,<blank>,"United States;Fiction;Revolution, 1775-1783;History",Fiction,Janice Meredith;,1899,1900,6,fic,
mdp.39015063869294,249888,598201,PZ3.F755J,"Ford, Paul Leicester,","New York;Dodd, Mead and co.;1899.",1899,v.1,"United States;Fiction;Revolution, 1775-1783;History",Fiction,Janice Meredith;,1899,1900,6,fic,
uc1.b4353846,249888,598201,PZ3.F755J,"Ford, Paul Leicester,","New York;Dodd, Mead and co.;1899.",1899,<blank>,"United States;Fiction;Revolution, 1775-1783;History",Fiction,Janice Meredith;,1899,1900,6,fic,
uc1.$b799569,779319,7002622,PZ3.G695R,"Goss, Charles Frederic,",Indianapolis;The Bowen-Merrill company;1900,1900,<blank>,<blank>,Fiction,The redemption of David Corson,1900,1900,7,fic,y
mdp.39015063549482,779319,7002622,PZ3.G695R,"Goss, Charles Frederic,",Indianapolis;The Bowen-Merrill company;1900,1900,<blank>,<blank>,Fiction,The redemption of David Corson,1900,1900,7,fic,
uc2.ark:/13960/t4fn1186r,779319,7002622,PZ3.G695R,"Goss, Charles Frederic,",Indianapolis;The Bowen-Merrill company;1900,1900,<blank>,<blank>,Fiction,The redemption of David Corson,1900,1900,7,fic,
nyp.33433076089436,8658649,24567998,<blank>,"Goss, Charles Frederic,",Indianapolis;Bowen-Merrill;c1900.,1900,<blank>,<blank>,Fiction,The redemption of David Corson,1900,1900,7,fic,
uc1.b3322536,7915316,4873908,<blank>,"Goss, Charles Frederic,",New York;B. W. Dodge;c1900.,1900,<blank>,<blank>,Fiction,The redemption of David Corson,1900,1900,7,fic,
uc2.ark:/13960/t70v8f975,7694183,1803730,<blank>,"Churchill, Winston,","New York;The Macmillan Company;1900,c1899.",1900,<blank>,<blank>,Not fiction,Richard Carvel,1899,1900,8,fic,
mdp.39015004288471,663376,270936,PZ3.C474R,"Churchill, Winston,",New York;London;The Macmillan Company;1899.,1899,<blank>,"United States;Maryland;Fiction;Revolution, 1775-1783;History",Fiction,Richard Carvel,1899,1900,8,fic,
uc1.b3962029,663376,270936,PZ3.C474R,"Churchill, Winston,",New York;London;The Macmillan Company;1899.,1899,<blank>,"United States;Maryland;Fiction;Revolution, 1775-1783;History",Fiction,Richard Carvel,1899,1900,8,fic,y
nyp.33433074812375,8584514,<blank>,PZ3.C474R,"Churchill, Winston,",New York;London;The Macmillan Company;1899.,1899,<blank>,"United States;Maryland;Fiction;Revolution, 1775-1783;History",Fiction,Richard Carvel,1899,1900,8,fic,
uc2.ark:/13960/t2g737b2k,7678915,3918443,<blank>,"Churchill, Winston,",New York;Grosset & Dunlap;1899.,1899,<blank>,<blank>,Not fiction,Richard Carvel,1899,1900,8,fic,
uc2.ark:/13960/t0ht2gj4c,663376,270936,PZ3.C474R,"Churchill, Winston,",New York;London;The Macmillan Company;1899.,1899,<blank>,"United States;Maryland;Fiction;Revolution, 1775-1783;History",Fiction,Richard Carvel,1899,1900,8,fic,
umn.31951002044244p,11225266,6056771,PS2359 M648W4 1899,"Major, Charles,","Indianapolis, Ind.;Bowen-Merrill;1899",1899,<blank>,"Fiction;Henry VIII, 1509-1547;Great Britain;History",Not fiction,"When knighthood was in flower, or, The love story of Charles Brandon and Mary Tudor, the king's sister, and happening in the reign of ... Henry VIII; rewritten and rendered into modern English from Sir Edwin Caskoden's memoir",1898,1900,9,fic,
nyp.33433076051303,628576,6934859,PZ3.M289Wh2,"Major, Charles,","Indianapolis, Ind.;Bowen-Merrill company;c1898].",1898,<blank>,"Fiction;Henry VIII, 1509-1547;Great Britain;History",Fiction,When knighthood was in flower;,1898,1900,9,fic,
uc1.32106002076195,8325562,10334673,<blank>,"Major, Charles,","Indianapolis, Ind.;The Bowen-Merrill company;1898.",1898,<blank>,"Fiction;Henry VIII, 1509-1547;Great Britain;History",Not fiction,When knighthood was in flower;,1898,1900,9,fic,y
uc1.b3550216,6672991,891241,PS2359.M648W49,"Major, Charles,",Indianapolis;Bowen-Merrill Company;1898.,1898,cop.2,"Fiction;Henry VIII, 1509-1547;Great Britain;History",Not fiction,When knighthood was in flower;,1898,1900,9,fic,
uva.x004198712,9776071,406385,PZ3.M289Wh5,"Major, Charles,","Indianapolis, Ind.;The Bowen-Merrill company;1899",1899,<blank>,"Fiction;Henry VIII, 1509-1547;Great Britain;History",Not fiction,When knighthood was in flower;,1898,1900,9,fic,
mdp.39015004288133,628576,6934859,PZ3.M289Wh2,"Major, Charles,","Indianapolis, Ind.;Bowen-Merrill company;c1898].",1898,<blank>,"Fiction;Henry VIII, 1509-1547;Great Britain;History",Fiction,When knighthood was in flower;,1898,1900,9,fic,
uc1.b3329009,7929377,42380311,<blank>,"Thompson, Maurice,",Indianapolis;Bobbs-Merrill;c1900.,1900,<blank>,"Indiana;Fiction;Revolution, 1775-1783;History",Fiction,Alice of old Vincennes,1900,1900,10,fic,
nyp.33433076080732,8660979,17397016,<blank>,"Thompson, Maurice,","Indianapolis;The Bowen-Merrill Company;c1900;(Brooklyn, N.Y.;Braunsworth, Munn & Barber).",1900,<blank>,Indiana;Fiction;History,Fiction,Alice of old Vincennes,1900,1900,10,fic,
uc2.ark:/13960/t1mg7g187,7673542,17396935,PZ3.T376A,"Thompson, Maurice,",Indianapolis;The Bowen-Merrill Company;c1900,1900,<blank>,Indiana;Fiction;History,Fiction,Alice of old Vincennes,1900,1900,10,fic,y
