HTid,recordid,OCLC,LOCnum,author,imprint,date,enumcron,subjects,genres,title,firstpub,Hackettlist,NumInList,Jgenre,Present
mdp.39015012306877,1852814,5523335,<blank>,"Sienkiewicz, Henryk,","Boston;Little, Brown, and company;1898.",1898,<blank>,"Primitive and early church, ca. 30-600;Nero, 54-68;Rome;Church history;Fiction;History",Unknown;biog?,Quo vadis,1895,1897,1,fic,
uiuo.ark:/13960/t5bc3x12s,8722636,5369265,<blank>,"Sienkiewicz, Henryk,",London;Dent;1897.,1897,<blank>,"Primitive and early church, ca. 30-600;Nero, 54-68;Rome;Church history;Fiction;History",Fiction,Quo vadis,1895,1897,1,fic,
mdp.39015010755968,1244479,1882633,PZ3.S57Q2,"Sienkiewicz, Henryk,","Boston;Little, Brown, and company;1896.",1896,<blank>,"Primitive and early church, ca. 30-600;Nero, 54-68;Rome;Church history;Fiction;History",Not fiction,Quo vadis,1895,1897,1,fic,
uc1.b4363426,9509342,254654981,<blank>,"Sienkiewicz, Henryk,",Philadelphia;H. Altemus;c1897.,1897,<blank>,"Primitive and early church, ca. 30-600;Nero, 54-68;Rome;Church history;Fiction;History",Not fiction,Quo vadis,1895,1897,1,fic,
mdp.39076007044808,9909432,8009277,<blank>,"Sienkiewicz, Henryk,",London;New York;Nelson;1896,1896,<blank>,<blank>,Fiction,Quo vadis?,1895,1897,1,fic,
njp.32101074898295,9025741,4796618,PZ3.S57.Q4,"Sienkiewicz, Henryk,","Boston;Little, Brown and company;1897.",1897,vol.1,"Primitive and early church, ca. 30-600;Fiction;Rome;Church history;Nero, 54-68;History",Not fiction,Quo vadis.,1895,1897,1,fic,y
njp.32101074898303,9025741,4796618,PZ3.S57.Q4,"Sienkiewicz, Henryk,","Boston;Little, Brown and company;1897.",1897,vol.2,"Primitive and early church, ca. 30-600;Fiction;Rome;Church history;Nero, 54-68;History",Not fiction,Quo vadis.,1895,1897,1,fic,y
mdp.39015063740164,242916,544175,<blank>,"Allen, James Lane,","New York;The Macmillan company;London;Macmillan & co., ltd.;1897.",1897,<blank>,<blank>,Fiction,The choir invisible,1897,1897,2,fic,
njp.32101063579948,8916577,905796,PZ3.A427C3,"Allen, James Lane,",New York;London;The Macmillan co.;1898.,1898,<blank>,<blank>,Not fiction,The choir invisible,1897,1897,2,fic,
uc1.b248049,6501095,23833783,PZ3.A427Ch4,"Allen, James Lane,","New York;Macmillan Company;London;Macmillan & Co., ltd.;1898.",1898,<blank>,<blank>,Fiction,The choir invisible,1897,1897,2,fic,
mdp.39015063740057,242917,7127756,PZ3.A427C 6,"Allen, James Lane,",New York;The American news company;1899.,1899,<blank>,<blank>,Fiction,The choir invisible,1897,1897,2,fic,
nyp.33433082168851,242916,544175,<blank>,"Allen, James Lane,","New York;The Macmillan company;London;Macmillan & co., ltd.;1897.",1897,<blank>,<blank>,Fiction,The choir invisible,1897,1897,2,fic,y
nyp.33433074845995,6131639,272031,PZ3.D298So,"Davis, Richard Harding,",New York;C. Scribner's sons;1897.,1897,<blank>,<blank>,Fiction,Soldiers of fortune,1897,1897,3,fic,y
uc1.b3325372,6131639,272031,PZ3.D298So,"Davis, Richard Harding,",New York;C. Scribner's sons;1897.,1897,<blank>,<blank>,Fiction,Soldiers of fortune,1897,1897,3,fic,
mdp.39015011823500,558233,6677025,<blank>,"Davis, Richard Harding,",New York;American News Co.;1897,1897,<blank>,<blank>,Fiction,Soldiers of fortune,1897,1897,3,fic,
mdp.39015002646134,1774986,9499197,<blank>,"Steel, Flora Annie Webster,",London;W. Heinemann;1897.,1897,<blank>,"Sepoy Rebellion, 1857-1858;Fiction;India;History",Unknown;biog?,On the face of the waters,1896,1897,4,fic,
uc2.ark:/13960/t43r1751d,7703575,372461,PZ3.S813On 2PR5473.S315,"Steel, Flora Annie Webster,",New York;The Macmillian Company;1897.,1897,<blank>,"Sepoy Rebellion, 1857-1858;Fiction;India;History",Fiction,On the face of the waters;,1896,1897,4,fic,y
nyp.33433074857511,7662562,5753805,<blank>,"Hope, Anthony,",New York;F. A. Stokes;c1897.,1897,<blank>,<blank>,Fiction,Phroso,1897,1897,5,fic,
uc2.ark:/13960/t15m63z2v,7662562,5753805,<blank>,"Hope, Anthony,",New York;F. A. Stokes;c1897.,1897,<blank>,<blank>,Fiction,Phroso,1897,1897,5,fic,y
uc2.ark:/13960/t6zw1h33g,7695280,10822582,<blank>,"Hope, Anthony,",London;Methuen;1897.,1897,<blank>,<blank>,Fiction,Phroso,1897,1897,5,fic,
uc2.ark:/13960/t72v2nt29,6673998,21073169,<blank>,"Caine, Hall,",New York;D. Appleton and company;1898.,1898,<blank>,<blank>,Not fiction,The Christian,1897,1897,6,fic,y
nyp.33433074945167,6673998,21073169,<blank>,"Caine, Hall,",New York;D. Appleton and company;1898.,1898,<blank>,<blank>,Not fiction,The Christian,1897,1897,6,fic,
uc2.ark:/13960/t8hd8346r,7697168,14234770,<blank>,"Caine, Hall,",Leipzig;B. Tauchnitz;1898.,1898,v.2,<blank>,Not fiction,The Christian,1897,1897,6,fic,
uc2.ark:/13960/t82j6ph88,7697168,14234770,<blank>,"Caine, Hall,",Leipzig;B. Tauchnitz;1898.,1898,v.1,<blank>,Not fiction,The Christian,1897,1897,6,fic,
uc1.b3556225,6673998,21073169,<blank>,"Caine, Hall,",New York;D. Appleton and company;1898.,1898,<blank>,<blank>,Not fiction,The Christian,1897,1897,6,fic,
nyp.33433043850043,8612514,35617530,<blank>,"Caine, Hall,",London;William Heinemann;1899.,1899,<blank>,<blank>,Not fiction,The Christian,1897,1897,6,fic,
uc2.ark:/13960/t0ht2mv7h,7686389,13303002,<blank>,"Caine, Hall,",London;W. Heinemann;1897.,1897,<blank>,<blank>,Fiction,The Christian;,1897,1897,6,fic,
njp.32101068175320,7686389,13303002,<blank>,"Caine, Hall,",London;W. Heinemann;1897.,1897,<blank>,<blank>,Fiction,The Christian;,1897,1897,6,fic,
uc2.ark:/13960/t86h4g69c,7646526,400124,DA816.B2,"Barrie, J. M.",London;Hodder & Stoughton;1897.,1897,<blank>,"Barrie, Margaret Ogilvy",Not fiction,Margaret Ogilvy,1896,1897,7,fic,
loc.ark:/13960/t4sj21g7c,9583044,<blank>,DA816.B2B19,"Barrie, J. M.",New York;Charles Scribner's Sons;1896.,1896,<blank>,"Barrie, Margaret Ogilvy",Not fiction;Biography,Margaret Ogilvy,1896,1897,7,fic,
nyp.33433082336722,115781,919196,<blank>,"Barrie, J. M.",New York;C. Scribner's sons;1897.,1897,<blank>,"Barrie, Margaret Ogilvy",Fiction,Margaret Ogilvy,1896,1897,7,fic,y
uc1.b4071978,6144093,3178007,DA816.B2B19,"Barrie, J. M.",New York;C. Scribner;1896.,1896,<blank>,"Barrie, Margaret Ogilvy",Not fiction;Biography,Margaret Ogilvy,1896,1897,7,fic,
mdp.39015059389612,115781,919196,<blank>,"Barrie, J. M.",New York;C. Scribner's sons;1897.,1897,<blank>,"Barrie, Margaret Ogilvy",Fiction,Margaret Ogilvy,1896,1897,7,fic,
uc1.b3760227,10156302,<blank>,<blank>,"Barrie, J. M.",London;Hodder and Stoughton;1897.,1897,<blank>,"Barrie, Margaret Ogilvy",Not fiction,Margaret Ogilvy,1896,1897,7,fic,
uc1.b3579198,6678392,23072614,<blank>,"Barrie, J. M.",New York;C. Scribner's Sons;1897 [c1896,1897,<blank>,<blank>,Not fiction,Sentimental Tommy,1896,1897,8,fic,
nyp.33433074936554,1426201,5160353,<blank>,"Barrie, J. M.",London [etc. etc.;Cassell & co.;1896.,1896,<blank>,<blank>,Unknown;biog?,Sentimental Tommy,1896,1897,8,fic,
