HTid,recordid,OCLC,LOCnum,author,imprint,date,enumcron,subjects,genres,title,firstpub,Hackettlist,NumInList,Jgenre,Present
uc1.b3326073,7922848,3122744,<blank>,"Smith, Francis Hopkinson,",New York;Grosset & Dunlap;1898.,1898,<blank>,<blank>,Fiction,Caleb West,,1898,1,fic,
nyp.33433076033954,8660691,18343077,<blank>,"Smith, Francis Hopkinson,",New York;Regent Press;c1898.,1898,<blank>,American fiction,Fiction,"Caleb West, master diver",,1898,1,fic,
uc2.ark:/13960/t8rb6wm1v,7649579,275579,<blank>,"Smith, Francis Hopkinson,","Boston;Houghton, Mifflin and company;1898.",1898,<blank>,<blank>,Not fiction,"Caleb West, master diver",,1898,1,fic,y
uc1.b3327354,7127485,2130213,<blank>,"Mitchell, S. Weir",New York;Century;1899.,1899,v. 2,"United States;History;Revolution, 1775-1783;Quakers;Fiction",Not fiction,"Hugh Wynne, Free Quaker",,1898,2,fic,y
uc1.b3327353,7127485,2130213,<blank>,"Mitchell, S. Weir",New York;Century;1899.,1899,v. 1,"United States;History;Revolution, 1775-1783;Quakers;Fiction",Not fiction,"Hugh Wynne, Free Quaker",,1898,2,fic,y
mdp.39015030709680,670316,1744052,PZ3.M695Hu8,"Mitchell, S. Weir",New York;The Century co.;1900.,1900,<blank>,"United States;Fiction;Revolution, 1775-1783;History",Fiction,"Hugh Wynne, free Quaker",,1898,2,fic,
uc1.32106019583837,7127485,2130213,<blank>,"Mitchell, S. Weir",New York;Century;1899.,1899,v.2,"United States;History;Revolution, 1775-1783;Quakers;Fiction",Not fiction,"Hugh Wynne, Free Quaker",,1898,2,fic,
uc1.32106015697896,7127485,2130213,<blank>,"Mitchell, S. Weir",New York;Century;1899.,1899,v.1,"United States;History;Revolution, 1775-1783;Quakers;Fiction",Not fiction,"Hugh Wynne, Free Quaker",,1898,2,fic,
uc2.ark:/13960/t6c24vf7m,7694551,4744449,<blank>,"Mitchell, S. Weir",New York;A. L. Burt;c1897,1897,<blank>,"United States;Fiction;Revolution, 1775-1783;History",Fiction,Hugh Wynne;,,1898,2,fic,
uc1.b3146409,5956021,169974,PZ3.W64Pep2,"Wiggin, Kate Douglas Smith,","Boston;New York;Houghton, Mifflin and Co.;1898;(Cambridge [Mass.;The Riverside Press)",1898,<blank>,Scotland;Fiction,Fiction,Penelope's progress,,1898,3,fic,y
mdp.39015034613136,168511,4717520,PZ3.W64Pep 4,"Wiggin, Kate Douglas Smith,","Boston;New York;Houghton, Mifflin and company;1900.",1900,<blank>,Scotland;Description and travel,biog?;Not fiction,Penelope's progress,,1898,3,fic,
uc2.ark:/13960/t90864w9z,7676857,3875631,<blank>,"Wiggin, Kate Douglas Smith,",Boston;Houghton Mifflin Company;1899 [1898,1899,<blank>,<blank>,Not fiction,Penelope's progress,,1898,3,fic,
uc1.b3327463,7923262,5518699,<blank>,"Wiggin, Kate Douglas Smith,",New York;Grosset & Dunlap;c1898.,1898,<blank>,Scotland;Description and travel,Fiction,Penelope's progress,,1898,3,fic,
coo.31924013567163,11405842,14950853,<blank>,"Ward, Humphry,",Leipzig;B. Tauchnitz;1898.,1898,v.1,<blank>,biog?;Not fiction,Helbeck of Bannisdale,,,4,fic,
