HTid,recordid,OCLC,LOCnum,author,imprint,date,enumcron,subjects,genres,title,firstpub,Hackettlist,NumInList,Jgenre,Present
uc1.b4105551,2934018,4484777,<blank>,"Westcott, Edward Noyes,",New York;Grosset & Duplap;c1898.,1898,<blank>,<blank>,Fiction,David Harum,1899,1899,1,fic,
wu.89006987838,2934018,4484777,<blank>,"Westcott, Edward Noyes,",New York;Grosset & Duplap;c1898.,1898,<blank>,<blank>,Fiction,David Harum,1899,1899,1,fic,
mdp.39015030730884,2934018,4484777,<blank>,"Westcott, Edward Noyes,",New York;Grosset & Duplap;c1898.,1898,<blank>,<blank>,Fiction,David Harum,1899,1899,1,fic,
uc2.ark:/13960/t8jd4r51f,7675782,676273,PZ3.W522D4,"Westcott, Edward Noyes,",New York;D. Appleton & Company;1900,1900,<blank>,<blank>,Fiction,David Harum;,1899,1899,1,fic,
uc1.b4374152,325159,276391,PZ3.W522D2,"Westcott, Edward Noyes,",New York;D. Appleton and company;1899.,1899,<blank>,<blank>,Fiction,David Harum;,1899,1899,1,fic,y
mdp.39015063974904,325159,276391,PZ3.W522D2,"Westcott, Edward Noyes,",New York;D. Appleton and company;1899.,1899,<blank>,<blank>,Fiction,David Harum;,1899,1899,1,fic,
uc1.b4104246,325159,276391,PZ3.W522D2,"Westcott, Edward Noyes,",New York;D. Appleton and company;1899.,1899,<blank>,<blank>,Fiction,David Harum;,1899,1899,1,fic,
umn.31951002044244p,11225266,6056771,PS2359 M648W4 1899,"Major, Charles,","Indianapolis, Ind.;Bowen-Merrill;1899",1899,<blank>,"Fiction;Henry VIII, 1509-1547;Great Britain;History",Not fiction,"When knighthood was in flower, or, The love story of Charles Brandon and Mary Tudor, the king's sister, and happening in the reign of ... Henry VIII; rewritten and rendered into modern English from Sir Edwin Caskoden's memoir",1898,1899,2,fic,
nyp.33433076051303,628576,6934859,PZ3.M289Wh2,"Major, Charles,","Indianapolis, Ind.;Bowen-Merrill company;c1898].",1898,<blank>,"Fiction;Henry VIII, 1509-1547;Great Britain;History",Fiction,When knighthood was in flower;,1898,1899,2,fic,
uc1.32106002076195,8325562,10334673,<blank>,"Major, Charles,","Indianapolis, Ind.;The Bowen-Merrill company;1898.",1898,<blank>,"Fiction;Henry VIII, 1509-1547;Great Britain;History",Not fiction,When knighthood was in flower;,1898,1899,2,fic,y
uc1.b3550216,6672991,891241,PS2359.M648W49,"Major, Charles,",Indianapolis;Bowen-Merrill Company;1898.,1898,cop.2,"Fiction;Henry VIII, 1509-1547;Great Britain;History",Not fiction,When knighthood was in flower;,1898,1899,2,fic,
uva.x004198712,9776071,406385,PZ3.M289Wh5,"Major, Charles,","Indianapolis, Ind.;The Bowen-Merrill company;1899",1899,<blank>,"Fiction;Henry VIII, 1509-1547;Great Britain;History",Not fiction,When knighthood was in flower;,1898,1899,2,fic,
mdp.39015004288133,628576,6934859,PZ3.M289Wh2,"Major, Charles,","Indianapolis, Ind.;Bowen-Merrill company;c1898].",1898,<blank>,"Fiction;Henry VIII, 1509-1547;Great Britain;History",Fiction,When knighthood was in flower;,1898,1899,2,fic,
uc2.ark:/13960/t70v8f975,7694183,1803730,<blank>,"Churchill, Winston,","New York;The Macmillan Company;1900,c1899.",1900,<blank>,<blank>,Not fiction,Richard Carvel,1899,1899,3,fic,
mdp.39015004288471,663376,270936,PZ3.C474R,"Churchill, Winston,",New York;London;The Macmillan Company;1899.,1899,<blank>,"United States;Maryland;Fiction;Revolution, 1775-1783;History",Fiction,Richard Carvel,1899,1899,3,fic,
uc1.b3962029,663376,270936,PZ3.C474R,"Churchill, Winston,",New York;London;The Macmillan Company;1899.,1899,<blank>,"United States;Maryland;Fiction;Revolution, 1775-1783;History",Fiction,Richard Carvel,1899,1899,3,fic,y
nyp.33433074812375,8584514,<blank>,PZ3.C474R,"Churchill, Winston,",New York;London;The Macmillan Company;1899.,1899,<blank>,"United States;Maryland;Fiction;Revolution, 1775-1783;History",Fiction,Richard Carvel,1899,1899,3,fic,
uc2.ark:/13960/t2g737b2k,7678915,3918443,<blank>,"Churchill, Winston,",New York;Grosset & Dunlap;1899.,1899,<blank>,<blank>,Not fiction,Richard Carvel,1899,1899,3,fic,
uc2.ark:/13960/t0ht2gj4c,663376,270936,PZ3.C474R,"Churchill, Winston,",New York;London;The Macmillan Company;1899.,1899,<blank>,"United States;Maryland;Fiction;Revolution, 1775-1783;History",Fiction,Richard Carvel,1899,1899,3,fic,
mdp.39015015368007,590996,8089410,<blank>,"Kipling, Rudyard,",Leipzig;B. Tauchnitz;1898.,1898,<blank>,"Short stories, English",Fiction,The day's work,1898,1899,4,fic,
uc1.32106001944211,7127383,14265831,<blank>,"Kipling, Rudyard,","New York;Doubleday & McClure;c1898, 1899.",1898,<blank>,<blank>,Not fiction,The day's work,1898,1899,4,fic,
uc1.$b698013,8441281,547641,PR4854.D33 1898,"Kipling, Rudyard,",London;Macmillan;1898.,1898,<blank>,<blank>,Not fiction,The day's work,1898,1899,4,fic,
uc1.$b698012,591000,236906,PZ3.K629D5PR4854.D33,"Kipling, Rudyard,",New York;Doubleday & McClure;1898.,1898,<blank>,<blank>,Fiction,The day's work,1898,1899,4,fic,y
nyp.33433074866751,591000,236906,PZ3.K629D5PR4854.D33,"Kipling, Rudyard,",New York;Doubleday & McClure;1898.,1898,<blank>,<blank>,Fiction,The day's work,1898,1899,4,fic,
nyp.33433074866744,591000,236906,PZ3.K629D5PR4854.D33,"Kipling, Rudyard,",New York;Doubleday & McClure;1898.,1898,<blank>,<blank>,Fiction,The day's work,1898,1899,4,fic,
