,"docid","actualdate","earliestdate","firstpub","sales","recordid","OCLC","author","imprint","enumcron","title","birthdate","gender","nationality","othername","notes","path","recept","authsvols"
0,"uiuo.ark+=13960=t6834cj82",1851,1851,1855,"notbest",8721569,21920615,"Oliphant, Margaret","London;H. Colburn;1851.","v.2","Merkland",1828,"f","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/68/34/cj/82/ark+=13960=t6834cj82/uiuo.ark+=13960=t6834cj82.json.bz2","elite",305
1,"uc1.b3327580",1855,1854,1854,"notbest",,,"Pike, Mary Hayden Green","Boston;Phillips, Sampson;New York;J. C. Derby;1855.",,"Ida May;",1824,"f","us",,,"uc1/pairtree_root/b3/32/75/80/b3327580/uc1.b3327580.json.bz2","vulgar",1
2,"uiuo.ark+=13960=t72v35t5b",1854,1854,1854,"notbest",,,"Sheppard, Elizabeth Sara","London;Smith, Elder;1854.",,"Counterparts, or, The cross of love",1830,"f","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/72/v3/5t/5b/ark+=13960=t72v35t5b/uiuo.ark+=13960=t72v35t5b.json.bz2","vulgar",18
3,"uc2.ark+=13960=t87h1m84p",1859,1859,1859,"notbest",7688076,4860377,"Francis, Francis","London;Hurst and Blackett;1859.","v.3","Newton Dogvane",1822,"m","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/87/h1/m8/4p/ark+=13960=t87h1m84p/uc2.ark+=13960=t87h1m84p.json.bz2","elite",10
4,"uva.x030802597",1851,1851,1851,"notbest",,,"Knight, Helen C","Philadelphia;American Sunday-School Union;1851.",,"Hugh Fisher",1814,"f","us",,,"uva/pairtree_root/x0/30/80/25/97/x030802597/uva.x030802597.json.bz2","vulgar",8
5,"uiuo.ark+=13960=t64462k75",1854,1854,1854,"notbest",391341,13325112,"Gibson, Charles B","Dublin;Hodges and Smith;1854.","v.1","The last earl of Desmond",1808,"m","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/64/46/2k/75/ark+=13960=t64462k75/uiuo.ark+=13960=t64462k75.json.bz2","elite",4
6,"nyp.33433000665822",1853,1853,1853,"notbest",8588672,5632116,"St. John, James Augustus","London;Longman, Brown, Green, & Longmans;1853.","v. 1","There and back again in search of beauty",1795,"m","uk",,,"nyp/pairtree_root/33/43/30/00/66/58/22/33433000665822/nyp.33433000665822.json.bz2","elite",12
7,"uc2.ark+=13960=t9p26ws5x",1859,1859,1859,"notbest",7688076,4860377,"Francis, Francis","London;Hurst and Blackett;1859.","v.2","Newton Dogvane",1822,"m","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/9p/26/ws/5x/ark+=13960=t9p26ws5x/uc2.ark+=13960=t9p26ws5x.json.bz2","elite",10
8,"uiuo.ark+=13960=t5fb5p49z",1851,1851,1851,"notbest",8718921,10571983,"Ponsonby, Emily","London;Colburn;1851.","v.1","Clare Abbey, or, The trials of youth",1817,"f","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/5f/b5/p4/9z/ark+=13960=t5fb5p49z/uiuo.ark+=13960=t5fb5p49z.json.bz2","elite",33
9,"nyp.33433074862560",1852,1852,1852,"notbest",,,"Gwynne, Talbot","New York;Harper & brothers;1852.",,"The school for fathers",1811,"f","uk",,,"nyp/pairtree_root/33/43/30/74/86/25/60/33433074862560/nyp.33433074862560.json.bz2","vulgar",3
10,"uiuo.ark+=13960=t9s18jz2x",1859,1859,1859,"notbest",,,"Owen, Octavius Freire","London;Hurst and Blackett;1859.",,"Raised to the peerage",1819,"f","uk","Mrs",,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/9s/18/jz/2x/ark+=13960=t9s18jz2x/uiuo.ark+=13960=t9s18jz2x.json.bz2","vulgar",3
11,"nyp.33433076049380",1852,1852,1852,"notbest",,,"Peterson, Charles J","Philadelphia;T. B. Peterson;c1852",,"The cabin and parlor; or, Slaves and masters",1818,"m","us",,,"nyp/pairtree_root/33/43/30/76/04/93/80/33433076049380/nyp.33433076049380.json.bz2","vulgar",4
12,"uiuo.ark+=13960=t5j96qq51",1851,1851,1855,"notbest",8721569,21920615,"Oliphant, Margaret","London;H. Colburn;1851.","v.3","Merkland",1828,"f","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/5j/96/qq/51/ark+=13960=t5j96qq51/uiuo.ark+=13960=t5j96qq51.json.bz2","elite",305
13,"njp.32101068166022",1856,1856,1856,"notbest",,,"Chatterton, Georgiana","London;John W. Parker;1856.",,"Compensation",1806,"f","uk",,,"njp/pairtree_root/32/10/10/68/16/60/22/32101068166022/njp.32101068166022.json.bz2","vulgar",32
14,"nyp.33433074942859",1856,1856,1856,"notbest",8584543,"<blank>","Conybeare, William John","New York;Wiley & Halsted;1856.","<blank>","Perversion",1815,"m","uk",,,"nyp/pairtree_root/33/43/30/74/94/28/59/33433074942859/nyp.33433074942859.json.bz2","elite",1
15,"njp.32101068176260",1854,1854,1854,"notbest",,,"Cartwright, Robert","London;Smith, Elder & Co.;1854.",,"Ambrose the sculptor",,"f","uk",,,"njp/pairtree_root/32/10/10/68/17/62/60/32101068176260/njp.32101068176260.json.bz2","vulgar",4
16,"uiuo.ark+=13960=t4dn4fz70",1859,1859,1859,"notbest",,,"Cornwallis, Kinahan","London;T.C. Newby;1859.",,"Wreck and ruin: or, Modern society",1839,"m","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/4d/n4/fz/70/ark+=13960=t4dn4fz70/uiuo.ark+=13960=t4dn4fz70.json.bz2","vulgar",5
17,"wu.89098013279",1854,1854,1854,"notbest",,,"Bullard, A. T. J","London;James Blackwood;1854.",,"Love affairs, or, How a flirt was caught in his own trap",1808,"f","uk",,,"wu/pairtree_root/89/09/80/13/27/9/89098013279/wu.89098013279.json.bz2","vulgar",3
18,"uiuo.ark+=13960=t2697np18",1851,1850,1850,"notbest",,,"Lytton, Rosina Bulwer Lytton","London;W. Shoberl;1851.",,"Miriam Sedley; or, The tares and the wheat",1802,"f","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/26/97/np/18/ark+=13960=t2697np18/uiuo.ark+=13960=t2697np18.json.bz2","vulgar",35
19,"uc2.ark+=13960=t6sx6753r",1855,1855,1855,"notbest",,,"Harwood, John Berwick","London;New York;G. Routledge;1855.",,"The serf-sisters;",1828,"m","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/6s/x6/75/3r/ark+=13960=t6sx6753r/uc2.ark+=13960=t6sx6753r.json.bz2","vulgar",12
20,"uc2.ark+=13960=t1xd10385",1852,1852,1852,"notbest",,,"Bennett, Emerson","Philadelphia;T.B. Peterson;c1852",,"Viola; or, Adventures in the far South-west",1822,"m","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/1x/d1/03/85/ark+=13960=t1xd10385/uc2.ark+=13960=t1xd10385.json.bz2","vulgar",38
21,"uiuo.ark+=13960=t0tq6hk31",1851,1851,1851,"notbest",8718921,10571983,"Ponsonby, Emily","London;Colburn;1851.","v.2","Clare Abbey, or, The trials of youth",1817,"f","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/0t/q6/hk/31/ark+=13960=t0tq6hk31/uiuo.ark+=13960=t0tq6hk31.json.bz2","elite",33
22,"uc2.ark+=13960=t7dr2xx5g",1852,1852,1852,"notbest",,,"Lowndes, Hannah Maria Jones","London;Printed for the proprietors by M'Gowan & Co.;1852.",,"Katharine Bereford; or, The shade and sunshine of woman's life",1800,"f","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/7d/r2/xx/5g/ark+=13960=t7dr2xx5g/uc2.ark+=13960=t7dr2xx5g.json.bz2","vulgar",2
23,"uiuo.ark+=13960=t3708cf7k",1852,1852,1852,"notbest",,,"Belfast, Frederick Richard Chichester","London;1852.",,"The farce of life",1827,"m","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/37/08/cf/7k/ark+=13960=t3708cf7k/uiuo.ark+=13960=t3708cf7k.json.bz2","vulgar",9
24,"nyp.33433082529318",1860,1860,1860,"notbest",8654126,24328538,"Abbott, Jacob","New York;Sheldon & Company;1861, 1860",,"The Florence stories",1803,"m","us",,,"nyp/pairtree_root/33/43/30/82/52/93/18/33433082529318/nyp.33433082529318.json.bz2","elite",179
25,"uc2.ark+=13960=t2q52nv5t",1862,1862,1863,"notbest",927135,8357970,"Drury, Anna H","Cambridge;s.n.;1862.",,"Deep waters",,,,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/2q/52/nv/5t/ark+=13960=t2q52nv5t/uc2.ark+=13960=t2q52nv5t.json.bz2","vulgar",8
26,"uiuo.ark+=13960=t0ht38q7z",1863,1863,1863,"notbest",119932,4469529,"Taylor, Meadows","Edinburgh;W. Blackwood;1863.","v.3","Tara",1808,"m","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/0h/t3/8q/7z/ark+=13960=t0ht38q7z/uiuo.ark+=13960=t0ht38q7z.json.bz2","elite",35
27,"wu.89098011976",1869,1869,1870,"notbest",5946349,35851869,"Berriedale","New York;T.W. Brown;1869.",,"Unforgiven",,,,,,"wu/pairtree_root/89/09/80/11/97/6/89098011976/wu.89098011976.json.bz2","elite",2
28,"njp.32101007613167",1861,1861,1861,"notbest",,,"Blagden, Isa","London;Smith, Elder;1861.",,"Agnes Tremorne",1816,"f","uk",,,"njp/pairtree_root/32/10/10/07/61/31/67/32101007613167/njp.32101007613167.json.bz2","vulgar",4
29,"nyp.33433074858089",1869,1869,1869,"notbest",4050187,10655867,"Helps, Arthur","Boston;Roberts Brothers;1869.",,"Realmah",1813,"m","uk",,,"nyp/pairtree_root/33/43/30/74/85/80/89/33433074858089/nyp.33433074858089.json.bz2","elite",14
30,"njp.32101073395038",1860,1860,1860,"notbest",,,"Kavanagh, Julia","London;New York;G. Routledge;1857?",,"Seven years, and other tales",1824,"f","ir",,,"njp/pairtree_root/32/10/10/73/39/50/38/32101073395038/njp.32101073395038.json.bz2","vulgar",62
31,"nyp.33433082546916",1869,1860,1860,"notbest",8662257,37102771,"Kingston, William Henry Giles","Boston;Lee & Shepard;1869.",,"Schoolboy days; or, Ernest Bracebridge",1814,"m","uk",,,"nyp/pairtree_root/33/43/30/82/54/69/16/33433082546916/nyp.33433082546916.json.bz2","elite",66
32,"nyp.33433075748867",1860,1860,1860,"notbest",8667142,12779728,"Pardoe","Philadelphia;T.B. Peterson;186-?",,"The adopted heir",1806,"f","uk",,,"nyp/pairtree_root/33/43/30/75/74/88/67/33433075748867/nyp.33433075748867.json.bz2","elite",39
33,"uc2.ark+=13960=t3st7kr2j",1869,1869,1869,"notbest",,,"Hemyng, Bracebridge","London;C.H. Clarke;1869",,"Held in thrall",1841,"m","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/3s/t7/kr/2j/ark+=13960=t3st7kr2j/uc2.ark+=13960=t3st7kr2j.json.bz2","vulgar",18
34,"uiuo.ark+=13960=t3611dm26",1869,1869,1869,"notbest",8722955,21300513,"Gibbon, Charles","London;Blackie & Son;1869.","v.3","Robin Gray",1843,"m","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/36/11/dm/26/ark+=13960=t3611dm26/uiuo.ark+=13960=t3611dm26.json.bz2","elite",37
35,"uiuo.ark+=13960=t5db8pf3x",1863,1863,1863,"notbest",119932,4469529,"Taylor, Meadows","Edinburgh;W. Blackwood;1863.","v.2","Tara",1808,"m","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/5d/b8/pf/3x/ark+=13960=t5db8pf3x/uiuo.ark+=13960=t5db8pf3x.json.bz2","elite",35
