docid,author,realname,pseudonym,gender,nationality,authordate,inferreddate,firstpub,latestcomp,allcopiesofwork,copiesin25yrs,enumcron,imprint,genres,subjects,shorttitle,category
nyp.33433074855069,"Gallichan, Walter M. (Walter Matthew)","Gallichan, Walter Matthew","Mortimer, Geoffrey",m,uk,1861-1946.,1895,1895,1895,1,1,,London;B. Dobell;1895.,Fiction,,Like stars that fall,novel
nyp.33433081652574,"Fraser, James Baillie",,,m,uk,1783-1856.,1838,,1838,2,2,v.1,London;R. Bentley;1838.,NotFiction,Prices|Social life and cu,"Narrative of the residence of the Persian princes in London, in 1835 and 1836. With an account of their journey from Persia, and subsequent adventures",nonfic
uc1.$b301045,"Kent, Louise Andrews",,,f,us,1886-1969.,1945,,1945,1,1,,Boston|Houghton Mifflin|c,Fiction,,Country mouse,novel
nyp.33433074861935,"Hume, Fergus",,,m,uk,1859-1932.,1908,,1908,1,1,,New York;Dodge publishing,Fiction,,The red skull,novel
nyp.33433074856836,"Gibbon, Muriel Morgan",,,f,uk,,1921,,1921,1,1,,"Garden City, N.Y.;Toronto",NotFiction,,The alternative,novel
pst.000005752546,"Stewart, Elizabeth Grey",,,f,us,1914-,1961,,1961,1,1,,New York|Putnam|1961].,NotFiction,,Young man of the year : a novel,novel
uc1.32106009522654,"Humphreys, Emyr",,,m,uk,b. 1919,1991,,1991,1,1,,London|Macdonald|1991.,Fiction,"Parry, Amy (Fictitious ch",Bonds of attachment,novel
pst.000045753022,"Bristow, Gwen",,,f,us,1903-1980.,1962,,1962,1,1,,New York|Crowell|1962].,NotFiction,,"Plantation trilogy : Deep summer, The handsome road [and] This side of glory",novel
uc1.b248787,"Eggleston, Edward",,,m,us,1837-1902.,1872,1870,1870,2,2,,"Chicago [Ill.;Adams, Blac",,Christmas stories,Mr. Blake's walking stick,juvenile
mdp.39015060836171,"Escand�n, Mar�a Amparo",,,f,me,b. 1957,2005,,2005,1,1,,New York|Three Rivers Pre,Domestic fiction|Novel|Ps,Fiction|Women prisoners|T,Gonz�lez and Daughter Trucking Co. : a road novel with literary license,novel
uc1.$b101946,"Hedden, Worth Tuttle",,,f,us,1918-1985,1952,,1952,2,2,,New York|Crown Publishers,NotFiction,,Love is a wound,novel
mdp.39015033493647,"Simenon, Georges",,,m,be,1903-1989.,1977,,1967,1,1,,New York|Harcourt Brace J,Fiction,,Monsieur Monde vanishes,novel
nyp.33433081963146,"Wade, Mary Hazelton Blanchard",,,f,us,1860-1936.,1904,,1904,1,1,,Boston;Chicago;W. A. Wild,NotFiction,Indian children|North Ame,Ten little Indians; stories of how Indian children lived and played,juvenile
nyp.33433076025943,"Smith, John Hyatt",,,m,us,1824-1886.,1874,,1874,1,1,,Brooklyn;D. S. Holmes;187,Fiction,American fiction,"The open door; or, Light and liberty",novel
mdp.39015059774052,"Olson, Gene",,,m,us,1922-,1966,,1966,1,1,,Philadelphia|Westminster ,NotFiction,,Cross-country chaos,nonfic
pst.000014560620,"Joseph, Mark",,,m,us,b. 1946,1986,,1986,1,1,,New York|D.I. Fine|c1986.,NotFiction,,To kill the Potemkin : a novel,novel
mdp.39015048717071,"Conrad, Joseph",,,m,uk,1857-1924.,1920,,1920,1,1,,New York;E. P. Dutton and,Fiction,,Youth and Gaspar Ruiz,novel
nyp.33433074928775,"Bell, John Keble","Bell, John Keble","Howard, Keble",m,uk,1875-1928,1917,,1917,1,1,,New York;London;1917.,NotFiction,,The gay life,novel
uc2.ark+=13960=t21c1v37w,"Sidney, Margaret","Lothrop, Harriet Mulford Stone","Sidney, Margaret",f,us,1844-1924.,1916,,1916,1,1,,"Boston;Lothrop, Lee & She",,,Our Davie Pepper,juvenile
nyp.33433074866561,"Kinross, Albert",,,m,uk,1870-1929.,1908,,1908,1,1,,New York;Macmillan;1908.,Fiction,,Joan of Garioch,novel
nyp.33433074927744,"Lennox, Charlotte",,,f,uk,,1820,1752,1820,1,1,v. 25 (Female Quixote; part 2),London;s.n.;1820.,NotFiction,English literature,"The British novelists; with an essay, and prefaces, biographical and critical; The female Quixote",reprint
pst.000005733071,"Grahame, Arthur W",,,m,us,,1967,,1967,1,1,,Philadelphia|Dorrance|196,NotFiction,,Rabbitfoot,novel
nyp.33433074793831,"Corbin, John",,,m,us,1870-1959.,1907,,1907,2,2,,New York;D. Appleton and ,Fiction,,The cave man,novel
nyp.33433082303151,"Franklin, Josephine",,,f,us,,1865,,1865,1,1,,Boston;Taggard and Thomps,Juvenile audience|Fiction,,Martin and the miller,juvenile
inu.30000007708815,"Collins, Wilkie",,,m,uk,1824-1889.,1868,,1868,1,1,,New York;Harper & brother,NotFiction,,The moonstone. A novel,novel
uiuo.ark+=13960=t75t4866z,"Roche, Regina Maria",,,f,uk,1764-1845.,1824,,1824,4,4,v.4,London;Printed for A. K. ,,,The tradition of the castle;,novel
nyp.33433074862305,"Cambridge, William G",,,m,us,,1853,,1853,1,1,,Boston;Abel Tompkins and ,NotFiction,,"Henri : or, the web and woof of life",novel
uc2.ark+=13960=t1ng4h02g,"Greenleaf, Sue",,,f,us,,1906,,1906,1,1,,New York;B. W. Dodge and ,,sf,Don Miguel Lehumada,novel
uiuo.ark+=13960=t44q88r9x,Gore,"Gore, Catherine Grace Frances",,f,uk,1798-1861,1838,,1838,3,3,v.3,London;H. Colburn;1838.,,,"The heir of Selwood, or, Three epochs of a life",novel
mdp.39015001153629,"Christie, Agatha",,,f,us,1890-1976.,1933,,1933,1,1,,"New York|Dodd, Mead & com",Fiction,,Thirteen at dinner,novel
coo.31924064998069,"White, Percy",,,m,uk,1852-1938.,1905,,1905,2,2,v.2,Leipzig;B. Tauchnitz;1905,NotFiction,,The system,novel
uc2.ark+=13960=t4nk38459,"Pitt, William",,,m,uk,1708-1778,1804,,1804,2,2,,London;Printed for T. Pay,,"Pitt, William|Camelford, ","Letters written by the late Earl of Chatham to his nephew, Thomas Pitt, esq",nonfic
uc2.ark+=13960=t3dz04t88,"Flynn, William J",,,m,us,1861-1928,1919,,1919,1,1,,New York;J.A. McCann;1919,,,The barrel mystery,nonfic
dul1.ark+=13960=t9g45ch9h,"Godfrey, Hollis",,,m,us,1874-1936,1908,,1908,2,2,,"Boston;Little, Brown & Co",,,The man who ended war;,novel
mdp.39015042099278,"Head, Ann",,,f,us,b. 1915- ,1961,,1961,1,1,,"Garden City, N.Y.|Doubled",Fiction,,Always in August,novel
hvd.hnn97y,"Hood, Thomas",,,m,uk,1799-1845.,1827,,1827,1,1,,London;William H. Ainswor,Fiction,,National tales,shortstories
uiuo.ark+=13960=t7br98r5d,,,,f,uk,,1810,,1810,1,1,v.1,London;Printed for the au,,,"The adulteress ; or, anecdotes of two noble families",novel
uc1.$b555827,"Trenker, Luis",,,m,,1892-1990,1934,1933,1934,1,1,,New York|E. P. Dutton and,NotFiction,Mountaineering,Brothers of the snow,nonfic
uc2.ark+=13960=t4rj4ck98,,,,u,,,1846,,1846,3,3,,New York;Stanford and Swo,,,Recantation,novel
uc1.$b3181,"Branson, Helen Kitchen",,,f,us,1916-2006,1947,,1947,1,1,,"Pasadena, Calif.|M.S. Sen",NotFiction,Race relations|1905-|Grif,"Let there be life: a contemporary account of Edna L. Griffin, M.D",nonfic
mdp.39015063587474,"Majendie, Margaret, Lady",,,f,uk,1850-1912,1881,1875,1881,1,1,,New York;G. Munro;1881,Fiction,,Giannetto,novel
uc2.ark+=13960=t8mc8ss07,,,,u,,,1854,,1854,2,2,,Boston;E. W. Hinks;1854.,,VI|United States|Alexande,One link in the chain of apostolic succession,nonfic
nyp.33433074852835,"Birmingham, George A","Hannay, James Owen","Birmingham, George A",m,ir,1865-1950.,1905,,1905,4,4,,London;E. Arnold;1905.,Fiction|NotFiction,,The seething pot,novel
uc1.$b662534,"Nazhivin, Iv. (Ivan)",,"Nazhivin, Ivan",m,ru,1874-1940.,1931,1930,1931,1,1,,New York|London|Harper & ,Fiction,,"According to Thomas, an historical novel of the first century",novel
uc2.ark+=13960=t74t6gp9m,"Cushing, Paul",,,m,uk,1854-1919,1840,,1840,3,3,v.2,Edinburgh;W. Blackwood;18,,,The bull i' th' thorn,novel
mdp.39015028917659,"Pradhan, Pabitra Kumar",,,m,,,1992,,1992,1,1,,"Cuttack, Orissa|Toshali B",Fiction,,Audible silence,novel
mdp.39015028435223,,,,,,,1992,,1992,1,1,,"New York, N.Y.|Peguin|199",NotFiction,United States|Women autho,Catholic girls,shortstories
pst.000006161873,"Paisley, John Walter",,,m,us,d. 1949,1938,,1938,1,1,,Boston|The Christopher pu,NotFiction,,Ras Bravado,novel
uc1.b4449524,"Andress, Lesley","Sanders, Lawrence","Andress, Lesley",m,us,1920-1988,1980,,1980,1,1,,New York|Putnam|c1980,Fiction,,Caper,novel
uiuo.ark+=13960=t9j393d7p,Crumpe,,,u,uk,,1829,,1829,3,3,v.1,London;H. Colburn;1829.,,Ireland|Fiction|History|1,"Geraldine of Desmond, or, Ireland in the reign of Elizabeth",novel
uiuo.ark+=13960=t1ng57g58,Anonymous,,,u,,,1868,,1868,1,1,v.3,London;Tinsley Bros.;1868,,,Out of the meshes,novel
uiuo.ark+=13960=t7zk5z02q,"Brown, Thomas",,,m,,,1819,,1819,3,3,v.3,London;Printed for Sherwo,,,"London, or, A month at Steven's",novel
mdp.39015012190651,"Maupassant, Guy de",,,m,fr,1850-1893.,1917,1884,1893,1,1,v.12,New York;Brunswick Subscr,UnknownGenre,,The complete works of Guy de Maupassant. Translations and critical and interpretative essays,reprint
pst.000004786689,"Chase, James Hadley",,"Marshall, Ranond",m,uk,1906-1985,1950,,1950,1,1,,London|Published for the ,NotFiction,,Malory,novel
uc2.ark+=13960=t4bp02s9c,"James, G. P. R. (George Payne Rainsford)",,,m,uk,1799-1860.,1844,1835,1844,1,1,v.14,"London;Smith, Elder and C",,,[The works,novel
nyp.33433076073646,"Warner, Susan",,,f,us,1819-1885.,1877,,1877,1,1,,New York;R. Carter and Br,Fiction,,Pine needles : [a story],novel
mdp.39015000512742,"Simenon, Georges",,,m,be,1903-1989.,1976,1964,1976,2,1,,London|Hamilton|c1976.,Novel|Fiction|Detective a,"Police|Maigret, Jules (Fi",Maigret and the ghost,novel
uc2.ark+=13960=t7xk8n82d,"Lever, Charles James",,,m,ir,1806-1872.,1880,1856,1872,1,1,v.12,"London, New York;G. Routl",,,Charles Lever's novels,reprint
mdp.39015061866318,"Chaffee, Allen",,,m,,,1930,,1930,1,1,,"Springfield, Mass.|McLoug",Novel|Juvenile audience,,Lost! : Two boys battle the elements,juvenile
inu.39000003642282,"Harris, Christie",,,f,ca,1907-2002,1975,,1975,1,1,,Toronto|McClelland and St,NotFiction,Folklore|Indians of North,Sky man on the totem pole?,juvenile
mdp.39015059119886,"Nissen, Thisbe",,,f,us,1972-,2004,,2004,1,1,,New York|Alfred A. Knopf|,Domestic fiction|Novel|Ps,Single mothers|Accident v,Osprey Island,novel
pst.000005455102,"Fairchild, Garet","Rogers, Will H.","Fairchild, Garet",m,us,,1956,,1956,1,1,,New York|Exposition Press,NotFiction,,Prisoners in the Riff : a novel,novel
mdp.39015049744967,"Cather, Willa",,,f,us,1873-1947.,1927,1915,1927,6,4,,Boston|New York|Hougton M,Bibliographies|Fiction|No,Fiction|Fiction|Opera|You,The song of the lark,novel
uiuo.ark+=13960=t3bz6v35r,"Scott, Walter, Sir",,,m,uk,1771-1832.,1818,1817,1818,21,7,v.2,Edinburgh;Printed by Jame,Fiction|UnknownGenre|NotF,Fiction|1671-1734|Rob Roy,Rob Roy,novel
uiuo.ark+=13960=t0qr5fj5r,"Savile, Charles Stuart",,,m,uk,1816-1870,1842,,1842,3,3,v.2,London;R. Bentley;1842.,,,"Karah Kaplan; or, The Koordish chief",novel
mdp.39015018520398,"Moggach, Deborah",,,f,uk,b. 1948,1990,,1990,1,1,,London|Heinemann|1990.,Fiction,,Stolen,novel
uc2.ark+=13960=t9f47hm13,"Holland, J. G. (Josiah Gilbert)","Holland, Josiah Gilbert",,m,us,1819-1881.,1864,1857,1864,1,1,,New York;C. Scribner;1864,,,The Bay-path;,novel
mdp.39015001610354,"Cheever, John",,,m,us,1912-1982,1977,,1977,3,3,,New York|Knopf|1977.,Fiction|NotFiction,Large type books,Falconer,novel
mdp.39015060075960,"Rosencof, Mauricio",,,m,uy,b. 1933,2004,2000,2004,1,1,,Albuquerque|University of,Fiction,"Uruguay|Jews|Authors, Uru",The letters that never came,novel
uc2.ark+=13960=t6qz22x3r,"Harland, Marion","Terhune, Mary Virginia","Harland, Marion",f,us,1830-1922.,1876,1873,1876,1,1,,New York;G.W. Carleton;18,,,Jessamine,novel
njp.32101066457449,"Collins, Mortimer","Collins, Edward James Mortimer",,m,uk,1827-1876.,1865,,1865,1,1,vol.3,London;J. Maxwell;1865.,NotFiction,,Who is the heir? A novel,novel
uc1.b3741192,"Wambakha, O",,,u,,,1978,,1978,1,1,,Nairobi|Kenya Literature ,Fiction,,The closed road to Wapi,novel
uc1.32106018712015,"Dean, Louise",,,f,uk,b. 1970,2005,,2005,2,2,,London|Scribner|2005,Fiction,"Maze Prison (Lisburn, Nor",This human season,novel
mdp.39015066783013,"Block, Elizabeth (Elizabeth Ruth)","Block, Elizabeth Ruth",,f,us,,2005,,2005,1,1,,New York|Spuyten Duyvil|c,Psychological fiction|Exp,Fiction|Motion picture au,A gesture through time,novel
inu.32000009648280,"Green, Frances H. (Frances Harriet)","McDougall, Frances Harriet Whipple Green",,f,us,1805-1878.,1842,1839,1842,1,1,,Providence [R.I.;Printed ,Juvenile audience|NotFict,"Blacks|Eldridge, Elleanor",Elleanor's second book,novel
mdp.39015065707187,"Ripley, Sidney Dillon",,,m,us,1913-2001.,1942,,1942,2,2,,New York|Harper|1942. --,NotFiction,Denison-Crockett expediti,"Trail of2001. the money bird : 30,000 miles of adventure with a naturalist",nonfic
uc1.b3626218,"Paulding, James Kirke",,,m,us,1778-1860.,1835,1831,1835,3,3,v. 2,New York;Harper & brother,Fiction,History|Fiction|Fiction|H,"Koningsmarke; or, Old times in the new world",novel
uc2.ark+=13960=t51g0v51c,"Daudet, Alphonse",,,m,fr,1840-1897.,1898,1891,1897,1,1,v.08,New York;Society of Engli,,,"The novels, romances, and memoirs of Alphonse Daudet",novel
mdp.39015014541265,"McGarry, Jean",,,f,us,b. 1958,1987,,1987,1,1,,Baltimore|Johns Hopkins U,NotFiction,,The very rich hours,novel
mdp.39015048891959,"Stewart, Fred Mustard",,,m,us,1932-2007.,1978,,1978,1,1,,New York|Viking Press|197,Fiction,,A rage against heaven,novel
mdp.39015056512109,"Packer, ZZ",,,f,us,b. 1973,2003,,2003,1,1,,New York|Riverhead Books|,Fiction,Fiction|Young women|Afric,Drinking coffee elsewhere,shortstories
uiuo.ark+=13960=t04x5pc89,Mrs. S?,,,u,,,1811,,1811,1,1,v.1,London;printed for C. Cha,,,"Gotha, or Memoirs of the Wurtzburg family, founded on facts",novel
uc1.$b155513,"Lehmann, Arthur Heinz",,,m,de,1909-1956.,1955,1954,1954,1,1,,"New York|Holt|1955,c1954",Fiction,,The noble stallion,novel
mdp.39015064003018,"Bray, (Anna Eliza), Mrs","Bray, Anna Eliza",,f,uk,1790-1883.,1815,,1815,2,1,v.8,"London;Longman, Brown, Gr",Fiction,,Trials of the heart,novel
uc2.ark+=13960=t0sq8zn5q,"Howard, M. W. (Milford Wriarson)","Howard, Milford Wriarson",,m,us,1862-1937.,1921,,1921,2,2,,"Los Angeles, Cal.;Publish",,,Peggy Ware,novel
uiuo.ark+=13960=t67375c09,Gore,"Gore, Catherine Grace Frances",,f,uk,1798-1861,1857,,1857,2,2,v.3,London;Hurst and Blankett,,,The two aristocracies,novel
inu.30000052999335,"Ben Odeh, Hikmat",,,m,,,1995,,1995,2,2,,Irbid|H. Ben Odeh|c1995.,NotFiction,Palestine|Jordan|Fairy ta,Classic Fairy Tales from ancient Palestine and Jordan,shortstories
uc1.$b103842,"Bourne, Peter","Jefferies, Graham Montague","Bourne, Peter",m,uk,1900-1982,1952,,1952,1,1,,New York|Putnam|1952,UnknownGenre,,The golden road,novel
inu.39000000277678,"Apolo, Edia",,,f,,,1982,,1982,1,1,,"Apapa, Lagos, Nigeria|Her",Fiction,,Lagos na waa i swear,shortstories
nnc1.0036685208,"duc de, L�vis, Pierre-Marc-Gaston",,,m,fr,1764-1830.,1829,,1829,2,2,v.1,New-York;Sold by G. & C. ,Fiction,,The Carbonaro : Piedmontese tale,novel
loc.ark+=13960=t2d805x4x,"Bartlett, Frederick Orin",,,m,us,1876-1945.,1922,,1922,1,1,,"Norwood, Mass.;Priv. prin",,,Jane and I,novel
uc2.ark+=13960=t7dr2sh01,"Bennett, Arnold",,,m,uk,1867-1931.,1912,,1912,4,2,,New York;George H. Doran ,Fiction|NotFiction,,The matador of the Five Towns,shortstories
mdp.39015018053242,"Ashley, Robert Paul",,,,,1915-,1953,,1953,2,2,,New York|Rinehart|1953,Fiction,"Early modern, 1500-1700|E",Elizabethan fiction,reprint
nyp.33433068250780,"Moulton, Arthur W. (Arthur Wheelock)","Moulton, Arthur Wheelock",,m,us,1873-1962,1916,,1916,1,1,,Boston;R. G. Badger;1916.,NotFiction,,It came to pass,nonfic
pst.000021382758,,,,,,,1954,,1954,1,1,win. v.16,New York|Reader's Digest ,NotFiction,Condensed books,"Reader's digest condensed books : winter 1954 selections, vol. 16",reprint
mdp.39015048712163,"Dawson, Fielding",,,m,us,1930-2002.,1985,,1985,1,1,,Santa Barbara|Black Sparr,Fiction,,"Virginia Dare : stories, 1976-1981",shortstories
mdp.39015063918133,"Fletcher, J. S. (Joseph Smith)","Fletcher, Joseph Smith",,m,uk,1863-1935.,1935,,1935,1,1,,New York|A. A. Knopf|1935,Fiction,,The eleventh hour; being the second of the further adventures of Ronald Camberwell,novel
mdp.39015055883816,"Gornick, Lisa",,,f,us,1956-,2002,,2002,1,1,,"Chapel Hill, N.C.|Algonqu",Fiction,Psychotherapist and patie,A private sorcery : a novel,novel
uiuo.ark+=13960=t5j96f67z,Cathcart,,,f,uk,,1833,,1833,3,3,v.1,London;Longman;1833.,,,Adelaide;,novel
mdp.39015065769393,"Surr, T. S. (Thomas Skinner)","Surr, Thomas sKinner",,m,uk,1770-1847.,1801,,1801,3,3,v.2,London;Printed for T. Hur,Fiction,,Splendid misery. A novel,novel
uc2.ark+=13960=t9862cj28,"Ferguson, Esther Baldwin",,,f,us,b. 1842,1910,,1910,1,1,c.2,San Francisco;Gilmartin C,,Equality|Social condition,The lump of gold,novel
uc2.ark+=13960=t31261n0t,"Daudet, Alphonse",,,m,fr,1840-1897.,1898,1881,1897,1,1,v.04,New York;Society of Engli,,,"The novels, romances, and memoirs of Alphonse Daudet",reprint
umn.31951002102922y,"Goddard, Constance Felicity",,,f,uk,,1945,,1945,1,1,,London|J. Cape|1945.,NotFiction,,"Come wind, come weather",novel
njp.32101068163615,,,,u,,,1820,,1820,1,1,vol.2,London;T. Egerton;1820.,Fiction,,"Good-humour; or, My uncle, the general",novel
mdp.39015010397001,Murasaki Shikibu,"Shikibu, Murasaki",,f,jp,978-1016,1976,1021,1976,2,2,v.1,"New York|Alfred A, Knopf|",NotFiction,,The tale of Genji,reprint
uc2.ark+=13960=t1sf2qf1f,"Hayes, Clair W. (Clair Wallace)","Hayes, Clair Wallace",,f,us,b. 1887.,1917,,1917,2,2,,New York;A.L. Burt Co.;c1,,"France|Fiction|Verdun, Ba","The boy allies at Verdun, or, Saving France from the enemy",novel
nyp.33433074929476,"Braddon, M. E. (Mary Elizabeth)","Braddon, Mary Elizabeth",,f,uk,1835-1915.,1873,,1873,10,8,v. 2,Leipzig;B. Tauchnitz;1873,NotFiction,,Strangers and pilgrims; a novel,novel
wu.89098877509,"Kinzie, John H., Mrs","Kinzie, Juliette Augusta Magill",,f,us,1806-1870.,1856,,1856,6,5,,New York;Derby & Jackson;,NotFiction,Indians of North America|,"Wau-bun, the early day in the North-west",nonfic
uc2.ark+=13960=t40r9t540,,,,,,,1853,,1853,1,1,,"London;Ingram, Cooke, and",,Anecdotes,The Railway anecdote book,shortstories
nyp.33433087358515,"Hunt, Leigh",,,u,,1784-1859.,1807,,1807,1,1,v. 3,London;J. Hunt and C. Rey,Fiction,,Johnson. Marmontel,reprint
uc1.32106011486914,,"Ryder, Frank Glessner",,m,,b. 1916,1988,,1988,1,1,,New York|Continuum|1988.,Fiction,"Short stories, German|Eng",German romantic stories,shortstories
uc1.32106001693115,"Knight, Damon",,,m,us,1922-2002.,1961,,1961,1,1,,New York|Simon and Schust,NotFiction,"Science fiction, American",Far out; 13 science fiction stories,shortstories
uva.x001850551,"Strother, Emily Viel�",,,f,us,1866-1959,1915,,1915,1,1,,New York;E. P. Dutton & c,Fiction,,Eve Dorre : the story of her precarious youth,novel
nyp.33433076059850,"Putnam, Nina (Wilcox), Mrs",,,f,us,1888-1962.,1912,,1912,1,1,,"Garden City, N.Y.;Doubled",Fiction,,In search of Arcady,novel
nyp.33433074920962,"Leslie, Madeline","Baker, Harriette Newell Woods","Aunt Hattie, Madeline Leslie",f,us,1815-1893.,1867,,1867,1,1,,Boston;Henry A. Young;186,NotFiction,,The chest of tools,juvenile
mdp.39015035016099,"Garner, James Finn",,,m,us,b. 1960,1995,,1995,1,1,,New York|Macmillan|c1995.,Fiction,Large type books|Politica,Politically correct holiday stories : for an enlightened yuletide season,shortstories
uiuo.ark+=13960=t2x354s13,Ouida,"Ram�, Mary Louise",Ouida,f,uk,1839-1908.,1878,,1878,3,3,v.1,London;Chatto & Windus;18,,,Friendship,novel
uc1.b3037092,,,,,,,1821,1753,1821,1,1,v.3,"London;Hurst, Robinson an",NotFiction,,Ballantyne's novelist's library. [With prefatory memoirs by Sir Walter Scott],reprint
uc1.b3336986,"Crawford, F. Marion (Francis Marion)","Crawford, Francis Marion",,m,us,1854-1909.,1882,,1882,1,1,v. 17,New York;Collier;c1882-c1,NotFiction,,The complete works of F. Marion Crawford,reprint
nyp.33433076079304,"Huntington, J. V. (Jedediah Vincent)","Huntington, Jedediah Vincent",,m,us,1815-1862.,1853,,1853,2,2,v. 1,New York;Redfield;1853.,NotFiction,,Alban : or the history of a young Puritan,novel
mdp.39015035319808,"?renburg, Il?i?a","Erenburg, Ilya Grigoryevich",,m,ru,1891-1967.,1949,1948,1949,1,1,,New York|Gaer Associates|,Fiction,,The storm;,novel
nyp.33433000572291,"Hildebrandt, Johann Andreas Christoph",,,m,de,1763-1848.,1851,,1848,1,1,,"New York;M. W. Dodd;1852,",Juvenile audience|NotFict,Description and travel,Winter in Spitzbergen : a book for youth,juvenile
uc1.$b111806,"Wadelton, Maggie Jeanne (Melody) Mrs",,,f,us,1896-,1943,,1943,1,1,,Indianapolis|New York|The,NotFiction,,Maggie no doubt,novel
uc1.$b104884,"Richardson, Evelyn May Fox",,,f,ca,1902-1976,1953,,1953,1,1,,Philadelphia|Macrae Smith,Fiction,,Desired haven,novel
nyp.33433076086028,,,,u,us,,1863,,1863,1,1,,New York;Dick & Fitzgeral,Fiction,English fiction,"Tom Ripon; or, The highwayman and housebreaker",novel
mdp.39015058084958,"McQuay, Mike","McQuay, Michael Dennis",,m,us,1949-1995,1985,,1985,1,1,,Toronto|New York|Bantam|1,Novel,Families of royal descent,Pure blood,novel
mdp.39015056909438,"Madhavan, Cauvery",,,m,uk,b. 1962,2003,,2003,1,1,,London|BlackAmber Books|2,Novel,Married people|Fiction|In,The uncoupling,novel
uc1.b28759,"Wood, S. R",,,u,,,1894,,1894,2,2,,"Ferndale, Calif.;Matthews",,,Immanuel,juvenile
mdp.39015002203357,"Fitzgerald, F. Scott (Francis Scott)","Fitzgerald, Francis Scott",,m,us,1896-1940.,1926,,1926,1,1,,New York|Scribner's sons|,Fiction,,All the sad young men,shortstories
nyp.33433067303812,"Mills, John",,,m,uk,-approximately 1885.,1844,,1844,3,3,v. 3,London;Saunders and Otley,Fiction,,The English fireside : a tale of the past,novel
mdp.39015024079116,"Wibberley, Leonard","Wibberley, Leonard Patrick O�Connor",,m,uk,1915-1983.,1959,,1959,1,1,,New York|Putnam|c1959.,Fiction,,The quest of Excalibur,novel
nyp.33433074870647,"Higgins, D. W. David Williams)","Higgins, David William",,m,ca,1834-1917,1904,,1904,2,2,,Toronto;W. Briggs;1904.,Fiction,,The mystic spring : and other tales of western life,shortstories
