docid	author	realname	pseudonym	gender	nationality	authordate	inferreddate	firstpub	latestcomp	allcopiesofwork	copiesin25yrs	enumcron	imprint	genres	subjects	shorttitle	category	hathiadvent
uiuo.ark+=13960=t8nc6b618	Neri, Mary Anne	Neri, Mary Anne		f	it		1804	1804	1804	1.0	1.0	v.1	London;Printed for T. Cadell and W. Davies by I. Gold;1804.	Novel		The eve of San-Pietro	longfiction	contemporary
dul1.ark+=13960=t89g6ct7k	Edgeworth, Maria			f	uk	1767-1849.	1805	1804	1805	2.0	2.0		London;J. Johnson;1805.			The modern Griselda	longfiction	contemporary
dul1.ark+=13960=t4vh67297	Grafigny	Graffigny, Mme de (Françoise d'Issembourg d'Happoncourt)		f	fr	1695-1758	1802	1802	1802	1.0	1.0	v.2	Paris;printed for Durand Bookseller;1802.		Utopias	Letters of a Peruvian princess	longfiction	contemporary
uiuo.ark+=13960=t2z32gn5j	West	West, Jane	West, Mrs.	f	uk	1758-1852	1802	1802	1802	1.0	1.0	v.1	London;Printed by A. Strahan, for T.N. Longman and O. Rees;1802.			The infidel father	longfiction	contemporary
uva.x000099740	Hamilton, Elizabeth			f	uk	1756?-1816.	1800	1800	1800	5.3333333333	4.3333333333	v.2	Bath;Printed by R. Cruttwell for G.G. and J. Robinson, London;1800.			Memoirs of modern philosophers	longfiction	contemporary
nyp.33433074911581	Smith, Charlotte Turner			f	uk	1749-1806.	1800	1800	1800	1.0	1.0	v. 5	London;Printed by and for S. Low;1800-1802.		English fiction	The Hungarian (con't.) Leonora.  Guilelmine de Mortivalle	shortfiction	contemporary
njp.32101066459445	Gooch, Elizabeth Sarah Villa-Real			f	uk	1757-1807	1804	1804	1804	1.0	1.0	v.3	London;Highley;1804.			Sherwood forest; or, Northern adventures; a novel	longfiction	contemporary
uiuo.ark+=13960=t70v93r77	Opie, Amelia Alderson			f	uk	1769-1853.	1805	1804	1805	1.0	1.0	v.3	London;Longman, Hurst, Rees, & Orme; [etc., etc.;1805.			Adeline Mowbray	longfiction	contemporary
uiuo.ark+=13960=t6xw4rw1j	Cuthbertson, Catherine			f	uk	1775-1842	1803	1803	1803	3.0	3.0	v.2	London;Printed for G. and J. Robinson;1803.		English fiction	Romance of the Pyrenees	longfiction	contemporary
uiuo.ark+=13960=t3xs6cp6m	Young, Mary Julia			f	uk		1803	1803	1803	1.0	1.0	v.2	London;Printed by D.N. Shury for Crosby and Hughes;1803.			Right and wrong; or, The kinsmen of Naples	longfiction	contemporary
